iter	Passed	Remaining
630	4239	2478
631	4244	2471
632	4250	2464
633	4256	2457
634	4263	2450
635	4268	2442
636	4274	2435
637	4282	2429
638	4291	2424
639	4299	2418
640	4307	2412
641	4315	2406
642	4324	2400
643	4332	2394
644	4341	2389
645	4351	2384
646	4361	2379
647	4371	2374
648	4382	2370
649	4392	2365
650	4402	2360
651	4414	2355
652	4426	2351
653	4435	2346
654	4444	2340
655	4452	2334
656	4459	2328
657	4468	2322
658	4474	2315
659	4483	2309
660	4491	2303
661	4500	2297
662	4509	2292
663	4518	2286
664	4526	2280
665	4534	2273
666	4542	2267
667	4552	2262
668	4563	2257
669	4573	2252
670	4584	2247
671	4595	2242
672	4603	2236
673	4611	2230
674	4618	2223
675	4624	2216
676	4629	2208
677	4634	2200
678	4640	2193
679	4646	2186
680	4653	2179
681	4659	2172
682	4664	2164
683	4668	2156
684	4673	2148
685	4677	2141
686	4681	2133
687	4686	2125
688	4690	2117
689	4695	2109
690	4699	2101
691	4704	2093
692	4707	2085
693	4711	2077
694	4715	2069
695	4719	2061
696	4723	2053
697	4727	2045
698	4732	2037
699	4736	2030
700	4741	2022
701	4746	2014
702	4751	2007
703	4756	1999
704	4759	1991
705	4764	1984
706	4769	1976
707	4774	1969
708	4779	1961
709	4783	1953
710	4788	1946
711	4793	1938
712	4798	1931
713	4804	1924
714	4810	1917
715	4817	1910
716	4824	1904
717	4831	1897
718	4838	1890
719	4846	1884
720	4854	1878
721	4859	1871
722	4864	1863
723	4869	1856
724	4874	1848
725	4878	1841
726	4883	1833
727	4886	1825
728	4891	1818
729	4896	1810
730	4901	1803
731	4906	1796
732	4912	1789
733	4917	1782
734	4924	1775
735	4929	1768
736	4936	1761
737	4943	1754
738	4950	1748
739	4958	1742
740	4968	1736
741	4978	1731
742	4986	1724
743	4996	1719
744	5007	1713
745	5016	1707
746	5026	1702
747	5035	1696
748	5044	1690
749	5054	1684
750	5061	1678
751	5070	1672
752	5079	1666
753	5088	1660
754	5096	1653
755	5106	1648
756	5113	1641
757	5120	1634
758	5129	1628
759	5136	1622
760	5144	1615
761	5153	1609
762	5162	1603
763	5173	1598
764	5184	1592
765	5193	1586
766	5203	1580
767	5215	1575
768	5226	1569
769	5234	1563
770	5244	1557
771	5254	1551
772	5262	1545
773	5271	1539
774	5280	1532
775	5287	1526
776	5295	1519
777	5304	1513
778	5311	1506
779	5318	1500
780	5327	1493
781	5335	1487
782	5343	1480
783	5352	1474
784	5361	1468
785	5370	1462
786	5380	1456
787	5389	1450
788	5399	1444
789	5410	1438
790	5421	1432
791	5432	1426
792	5443	1420
793	5453	1415
794	5462	1408
795	5471	1402
796	5479	1395
797	5488	1389
798	5497	1382
799	5506	1376
800	5512	1369
801	5519	1362
802	5527	1356
803	5537	1349
804	5544	1343
805	5554	1336
806	5566	1331
807	5577	1325
808	5586	1318
809	5597	1313
810	5605	1306
811	5614	1299
812	5623	1293
813	5629	1286
814	5636	1279
815	5643	1272
816	5651	1265
817	5658	1258
818	5664	1251
819	5669	1244
820	5675	1237
821	5681	1230
822	5688	1223
823	5695	1216
824	5703	1209
825	5711	1203
826	5722	1197
827	5731	1190
828	5738	1183
829	5746	1176
830	5753	1169
831	5762	1163
832	5770	1156
833	5778	1150
834	5787	1143
835	5795	1136
836	5801	1129
837	5806	1122
838	5813	1115
839	5819	1108
840	5825	1101
841	5832	1094
842	5837	1087
843	5844	1080
844	5850	1073
845	5857	1066
846	5864	1059
847	5871	1052
848	5881	1045
849	5890	1039
850	5899	1032
851	5908	1026
852	5917	1019
853	5924	1012
854	5932	1006
855	5941	999
856	5949	992
857	5956	985
858	5965	979
859	5976	972
860	5986	966
861	5995	959
862	6004	953
863	6013	946
864	6024	940
865	6032	933
866	6041	926
867	6052	920
868	6062	913
869	6085	909
870	6096	902
871	6104	896
872	6112	889
873	6121	882
874	6129	875
875	6136	868
876	6142	861
877	6150	854
878	6158	847
879	6167	840
880	6175	834
881	6183	827
882	6194	820
883	6207	814
884	6217	807
885	6228	801
886	6240	795
887	6249	788
888	6261	781
889	6270	774
890	6277	768
891	6286	761
892	6294	754
893	6303	747
894	6312	740
895	6319	733
896	6327	726
897	6333	719
898	6342	712
899	6350	705
900	6358	698
901	6365	691
902	6375	684
903	6383	677
904	6394	671
905	6405	664
906	6415	657
907	6426	651
908	6439	644
909	6451	638
910	6462	631
911	6472	624
912	6480	617
913	6489	610
914	6499	603
915	6508	596
916	6517	589
917	6526	582
918	6535	576
919	6543	569
920	6552	562
921	6560	555
922	6568	547
923	6579	541
924	6591	534
925	6604	527
926	6616	521
927	6627	514
928	6637	507
929	6645	500
930	6652	493
931	6659	485
932	6668	478
933	6676	471
934	6682	464
935	6688	457
936	6696	450
937	6704	443
938	6710	435
939	6715	428
940	6720	421
941	6726	414
942	6731	406
943	6737	399
944	6742	392
945	6748	385
946	6753	377
947	6759	370
948	6766	363
949	6775	356
950	6783	349
951	6790	342
952	6799	335
953	6808	328
954	6817	321
955	6826	314
956	6836	307
957	6844	300
958	6851	292
959	6857	285
960	6865	278
961	6872	271
962	6879	264
963	6888	257
964	6897	250
965	6906	243
966	6914	235
967	6923	228
968	6931	221
969	6939	214
970	6948	207
971	6957	200
972	6966	193
973	6977	186
974	6986	179
975	6997	172
976	7005	164
977	7014	157
978	7024	150
979	7034	143
980	7043	136
981	7051	129
982	7063	122
983	7073	115
984	7081	107
985	7092	100
986	7100	93
987	7108	86
988	7115	79
989	7124	71
990	7133	64
991	7141	57
992	7150	50
993	7158	43
994	7167	36
995	7175	28
996	7184	21
997	7194	14
998	7204	7
999	7214	0
